date,season,artist,winner,loser
1/30/2000,1999,Phil Collins,LA,TEN
1/30/2000,1999,Christina Aguilera,LA,TEN
1/30/2000,1999,Enrique Iglesias,LA,TEN
1/30/2000,1999,Toni Braxton,LA,TEN
1/28/2001,2000,Aerosmith,BLT,NYG
1/28/2001,2000,N'Sync,BLT,NYG
1/28/2001,2000,Britney Spears,BLT,NYG
1/28/2001,2000,Mary J. Blige,BLT,NYG
1/28/2001,2000,Nelly,BLT,NYG
1/28/2001,2000,Justin Timberlake,BLT,NYG
2/3/2002,2001,U2,NE,LA
1/26/2003,2002,Shania Twain,TB,LV
1/26/2003,2002,No Doubt,TB,LV
1/26/2003,2002,Sting,TB,LV
2/1/2004,2003,Janet Jackson,NE,CAR
2/1/2004,2003,Kid Rock,NE,CAR
2/1/2004,2003,P.Diddy,NE,CAR
2/1/2004,2003,Nelly,NE,CAR
2/1/2004,2003,Justin Timberlake,NE,CAR
2/6/2005,2004,Paul McCartney,NE,PHI
2/5/2006,2005,The Rolling Stones,PIT,SEA
2/4/2007,2006,Prince,IND,CHI
2/3/2008,2007,Tom Petty and The Heartbreakers,NYG,NE
2/1/2009,2008,Bruce Springsteen and the E Street Band,PIT,ARZ
2/7/2010,2009,The Who,NO,IND
2/6/2011,2010,The Black Eyed Peas,GB,PIT
2/6/2011,2010,Usher,GB,PIT
2/6/2011,2010,Slash,GB,PIT
2/6/2011,2010,will.i.am,GB,PIT
2/5/2012,2011,Madonna,NYG,NE
2/3/2013,2012,Beyonce,BLT,SF
2/2/2014,2013,Bruno Mars,SEA,DEN
2/2/2014,2013,Red Hot Chili Peppers,SEA,DEN
2/1/2015,2014,Katy Perry,NE,SEA
2/1/2015,2014,Lenny Kravitz,NE,SEA
2/1/2015,2014,Missy Elliot,NE,SEA
2/7/2016,2015,Coldplay,DEN,CAR
2/7/2016,2015,Beyonce,DEN,CAR
2/7/2016,2015,Bruno Mars,DEN,CAR
2/5/2017,2016,Lady Gaga,NE,ATL
2/4/2018,2017,Justin Timberlake,PHI,NE
2/4/2018,2017,The Tennessee Kids,PHI,NE
2/3/2019,2018,Maroon 5,NE,LA
2/3/2019,2018,Travis Scott,NE,LA
2/3/2019,2018,Big Boi,NE,LA
2/2/2020,2019,Shakira,KC,SF
2/2/2020,2019,Jennifer Lopez,KC,SF
2/2/2020,2019,Bad Bunny,KC,SF
2/2/2020,2019,J Balvin,KC,SF
2/2/2020,2019,Emme Muniz,KC,SF
2/7/2021,2020,The Weeknd,TB,KC
2/13/2022,2021,Eminem,LA,CIN
2/13/2022,2021,Dr. Dre,LA,CIN
2/13/2022,2021,Snoop Dogg,LA,CIN
2/13/2022,2021,Kendrick Lamar,LA,CIN
2/13/2022,2021,Mary J. Blige,LA,CIN
2/12/2023,2022,Rihanna,KC,PHI
2/11/2024,2023,Usher,KC,SF
2/11/2024,2023,Alicia Keys,KC,SF
2/11/2024,2023,Jermaine Duprii,KC,SF
2/11/2024,2023,H.E.R.,KC,SF
2/11/2024,2023,will.i.am,KC,SF
2/11/2024,2023,Lil Jon,KC,SF
2/11/2024,2023,Ludacris,KC,SF
