date,link,path,post
1/27/2015,https://web.archive.org/web/20150128072157/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\1_27_2015.html,0
2/3/2015,https://web.archive.org/web/20150207064255/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_3_2015.html,1
2/17/2015,https://web.archive.org/web/20150218221458/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_17_2015.html,1
2/5/2016,https://web.archive.org/web/20160206000703/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_5_2016.html,0
2/12/2016,https://web.archive.org/web/20160213002245/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_12_2016.html,1
2/3/2017,https://web.archive.org/web/20170204144755/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_3_2017.html,0
2/10/2017,https://web.archive.org/web/20170211054507/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_10_2017.html,1
2/2/2018,https://web.archive.org/web/20180203173253/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_2_2018.html,0
2/9/2018,https://web.archive.org/web/20180211052443/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_9_2018.html,1
2/1/2019,https://web.archive.org/web/20190202175709/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_1_2019.html,0
2/8/2019,https://web.archive.org/web/20190209192608/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_8_2019.html,1
1/31/2020,https://web.archive.org/web/20200201221408/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\1_31_2020.html,0
2/7/2020,https://web.archive.org/web/20200208213959/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_7_2020.html,1
2/5/2021,https://web.archive.org/web/20210207031720/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_5_2021.html,0
2/12/2021,https://web.archive.org/web/20210213014249/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_12_2021.html,1
2/11/2022,https://web.archive.org/web/20220212182149/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_11_2022.html,0
2/18/2022,https://web.archive.org/web/20220219154950/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_18_2022.html,1
2/10/2023,https://web.archive.org/web/20230211175717/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_10_2023.html,0
2/17/2023,https://web.archive.org/web/20230218164723/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_17_2023.html,1
2/9/2024,https://web.archive.org/web/20240210164047/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_9_2024.html,0
2/16/2024,https://web.archive.org/web/20240217171333/https://hitsdailydouble.com/sales_plus_streaming,..\references\html\2_16_2024.html,1
